batch,intent,question,faq_coverage,faq_source,source_url,find_in_source_ctrlF,faq_note,origin,seed_id,source_ref
Batch 2,dob_discrepancy_correction,Can I be mobilized if my JAMB date of birth is wrong?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Date of Birth,Get 19/20-digit WAEC verification PIN from First Bank > enter on dashboard DOB correction link > verify. Gap between WAEC date and graduation date must be >=4 years. Different procedure if Exemption Certificate already issued.,original,S-0267,
Batch 2,dob_discrepancy_correction,Can I correct my date of birth on JAMB before NYSC registration?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Date of Birth,Get 19/20-digit WAEC verification PIN from First Bank > enter on dashboard DOB correction link > verify. Gap between WAEC date and graduation date must be >=4 years. Different procedure if Exemption Certificate already issued.,original,S-0267,
Batch 2,dob_discrepancy_correction,Can I do JAMB regularization to correct my date of birth before NYSC?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Date of Birth,Get 19/20-digit WAEC verification PIN from First Bank > enter on dashboard DOB correction link > verify. Gap between WAEC date and graduation date must be >=4 years. Different procedure if Exemption Certificate already issued.,original,S-0269,
Batch 2,jamb_regularization,Do I need JAMB condonement if I switched from part-time OND to full-time HND?,Not covered,-,,,Not addressed.,original,S-0270,
Batch 2,prior_registration_history,Can I use a second degree to apply for exemption and forfeit my first NYSC registration?,Not covered,-,,,No guidance on re-registration after prior/abandoned NYSC history.,original,S-0271,
Batch 2,prior_registration_history,"If I was posted twice but did not report either time, will NYSC post me again?",Not covered,-,,,No guidance on re-registration after prior/abandoned NYSC history.,original,S-0272,
Batch 2,missed_posting_consequence,What happens if I register for one batch but don't report to camp?,Not covered,-,,,Not addressed.,original,S-0273,
Batch 2,ppa_rejection_reposting,"Can I change my PPA if I have a ₦250,000 job elsewhere?",Not covered,-,,,No PPA-change procedure described in these sources.,original,S-0274,
Batch 2,ppa_change_request,What happens if NYSC reverses my PPA back to my former PPA?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-0275,
Batch 2,serve_at_current_workplace,Can I keep my private job while still completing NYSC?,Not covered,-,,,Not addressed.,original,S-0276,
Batch 2,remobilization_after_abandon,Can someone who has abandoned NYSC apply for remobilization?,Not covered,-,,,No remobilization/abandonment process described.,original,S-0277,
Batch 2,remobilization_after_abandon,How do I refund the allowance I received before abandoning NYSC?,Not covered,-,,,No remobilization/abandonment process described.,original,S-0278,
Batch 2,remobilization_after_abandon,How do I reconcile my NYSC portal when it shows me as present for months I did not serve?,Not covered,-,,,No remobilization/abandonment process described.,original,S-0279,
Batch 2,remobilization_after_abandon,Is remobilization still valid after several months?,Not covered,-,,,No remobilization/abandonment process described.,original,S-0280,
Batch 2,remobilization_after_abandon,When will NYSC open remobilization again?,Not covered,-,,,No remobilization/abandonment process described.,original,S-0281,
Batch 2,posting_influence,Can I serve in my state of origin if I grew up and schooled in another state?,Not covered,-,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Concessional,Only official override is concessional posting: marital ground (posting to husband's state) or health ground -- not general state choice.,original,S-0282,
Batch 2,direct_posting,What happens if I try to influence posting to my state of origin?,Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-0283,
Batch 2,multiple_redeployment,Can I redeploy three months after already being redeployed once?,Partial,PDF,,,Not addressed.,original,S-0284,
Batch 2,multiple_redeployment,Can I redeploy again on health grounds after a previous security-ground redeployment?,Partial,PDF,,,Not addressed.,original,S-0285,
Batch 2,registration_method_at_home,Can I register for NYSC myself from home?,Partial,PORTAL,https://portal.nysc.org.ng/nysc/FAQ.aspx,Digital Persona,Registration can be done on own computer if a Digital Persona fingerprint USB scanner is attached; otherwise use an accredited registration center/cybercafe.,original,S-0286,
Batch 2,biometric_capture,Can I capture my NYSC biometrics with my laptop fingerprint reader?,Covered,MOBREG/PORTAL,,proxy,Must not be done by proxy; same fingers used at registration are checked at camp. Digital Persona U.are.U 4500 scanner required if doing biometrics outside an NYSC office.,original,S-0287,
Batch 2,jamb_number_issue,How do I validate my JAMB number before NYSC registration?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Matriculation,"If matriculation/JAMB number already exists as an issue, contact your institution directly (not NYSC).",original,S-0288,
Batch 2,jamb_number_issue,Do I need to buy a scratch card to validate my JAMB number?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Matriculation,"If matriculation/JAMB number already exists as an issue, contact your institution directly (not NYSC).",original,S-0289,
Batch 2,jamb_number_issue,Will I have to pay another fee after validating my JAMB number?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Matriculation,"If matriculation/JAMB number already exists as an issue, contact your institution directly (not NYSC).",original,S-0290,
Batch 2,name_correction,"Why is my name arranged differently across JAMB, school records and my result?",Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0291,
Batch 2,name_correction,Can I correct a name mistake on the NYSC portal after registration?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0292,
Batch 2,registration_slip_printing,Why can't I print my registration slip from my NYSC dashboard?,Not covered,-,,,Not addressed.,original,S-0293,
Batch 2,name_correction,Can I still register with Stream 1 and go to camp while waiting for a name correction to be effected?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0294,
Batch 2,ppa_change_request,Can I change my PPA if I have already completed documentation at my former PPA LGA?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-1421,
Batch 2,ppa_change_request,Will changing my PPA after documentation cause any problems?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-0296,
Batch 2,ppa_rejection_reposting,I applied for PPA reposting at the local government secretariat but I have not been reposted. What can I do?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-0297,
Batch 2,ppa_change_request,Can I change my PPA if I have changed it before?,Not covered,-,,,No PPA-change procedure described in these sources.,original,S-1421,
Batch 2,relocation_general_process,Can I cancel a relocation request after accidentally submitting the cancellation?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Relocation after Camp,'Application for Relocation after Camp' is listed as a dashboard self-service; full step-by-step process not detailed.,original,S-0299,
Batch 2,relocation_status_tracking,"My relocation was approved and I printed the letter, but it is no longer showing on my relocation application status. Is there a problem?",Not covered,-,,,Not addressed.,original,S-0300,
Batch 2,missed_posting_consequence,"If I don't like the state I was posted to and forfeit the current posting, can I wait for the next batch?",Not covered,-,,,Not addressed.,original,S-0301,
Batch 2,missed_posting_consequence,"If I wait for the next batch after forfeiting my current posting, will I be posted to the same state?",Not covered,-,,,Not addressed.,original,S-0302,
Batch 2,jamb_name_mismatch,Can I register for NYSC if my name on my JAMB admission letter does not exactly match my certificate?,Not covered,guide,,,No explicit list of required JAMB documents.,original,S-0303,
Batch 2,jamb_name_mismatch,Will a discrepancy between my JAMB admission letter and certificate prevent me from entering camp?,Not covered,guide,,,No explicit list of required JAMB documents.,original,S-0304,
Batch 2,name_correction,Can I request name correction after completing NYSC registration?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0292,
Batch 2,name_correction,Can I report to camp while my name correction is still pending?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0306,
Batch 2,ppa_course_matching,"Where can a female lawyer serve in Enugu, preferably at CBN?",Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-0307,
Batch 2,posting_influence,Can someone help me find a PPA for my sister who was posted to Ondo?,Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-0044,
Batch 2,posting_influence,My home address changed from Lagos to Delta. Will this affect my NYSC posting?,Not covered,-,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Concessional,Only official override is concessional posting: marital ground (posting to husband's state) or health ground -- not general state choice.,original,S-0309,
Batch 2,callup_letter_access,When will Batch A Stream 2 call-up letters be ready?,Covered,PDF/MOBREG,,Mobilization Time Table,Official Mobilization Time Table published at nysc.gov.ng/mobtable.html.,original,S-0195,
Batch 2,callup_letter_access,My call-up letter has not appeared for Stream 2. What should I do?,Not covered,-,,,No troubleshooting guidance found for call-up number delay.,original,S-0195,
Batch 2,noise,I was posted to Kogi. What is the state like for corps members?,,-,,,Not a real question -- excluded from FAQ coverage analysis.,original,S-0312,
Batch 2,noise,I was posted to Imo. Is Imo a good state for corps members?,,-,,,Not a real question -- excluded from FAQ coverage analysis.,original,S-0313,
Batch 2,logistics_arrival_timing,Can I report to camp a day late if I just received my new call-up letter after redeployment?,Not covered,-,,,Not addressed.,original,S-0314,
Batch 2,posting_influence,"If I already have a PPA in mind, how can I make NYSC post me there?",Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-1417,
Batch 2,ppa_registration_status,Does a PPA need to be registered with NYSC before I can request posting there?,Not covered,-,,,Not addressed.,original,S-0316,
Batch 2,posting_influence,What document should a PPA give me if they want me posted to their organisation?,Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-0317,
Batch 2,posting_influence,Where do I submit a placement letter from a company that wants me as a corps member?,Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-1417,
Batch 2,green_card_printing,Why is my Green Card blank?,Not covered,-,,,Term 'Green Card' not addressed in these sources.,original,S-0319,
Batch 2,statement_of_result_requirement,Can I use a statement of result for NYSC?,Not covered,-,,,Not addressed.,original,S-0320,
Batch 2,callup_number_delay,I registered earlier but was moved from Batch A to Batch B. Why are people who registered later getting call-up numbers before me?,Not covered,-,,,No troubleshooting guidance found for call-up number delay.,original,S-0321,
Batch 2,callup_number_delay,Why has my call-up number not appeared even though I registered months ago?,Not covered,-,,,No troubleshooting guidance found for call-up number delay.,original,S-0322,
Batch 2,relocation_general_process,Can I get my relocation approval after spending months in my original state of deployment?,Not covered,-,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Concessional,Only official override is concessional posting: marital ground (posting to husband's state) or health ground -- not general state choice.,original,S-0257,
Batch 2,jamb_name_mismatch,Please I was meant to follow Batch C but an issue came up from my school. They refused to give me my certificate and statement of result as my middle name was abbreviated in my JAMB admission letter. How can I resolve this quickly so I can join the next graduation list?,Not covered,guide,,,No explicit list of required JAMB documents.,original,S-0323,
Batch 2,senate_list_status,"Also, people from my school who are on the graduation list but are not yet on the Senate list, will they be able to register?",Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0033,
Batch 2,senate_list_status,Is it possible to see your name on the graduating list and not on the Senate list?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0115,
Batch 2,senate_list_status,"Please, is the Senate list out?",Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0326,
Batch 2,graduation_date_correction,"I realized that my certificate does not carry the date I graduated, just the date the certificate was issued a year after I graduated. Will there be any issue at camp?",Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,wrongly exempted,"For wrongly-exempted PCMs: collect original Exemption Certificate from institution, SAO writes signed letter to NYSC HQ stating correct graduation date; then revalidate when portal reopens.",original,S-0327,
Batch 2,registration_documents_general,"What's the next step after registration, because I'm done with mine but it's NOUN, will I still serve?",Covered,MOBREG,https://www.nysc.gov.ng/mobreg.html,Requirements,"Functional email + Nigerian GSM number, correct matriculation number, name must appear on Senate list, compliant passport photo (white/off-white background, full face, centered).",original,S-0328,
Batch 2,registration_payment_issue,I can't create an account because of a service provider network error on the pre-payment page. How do I go about this?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,email address,Account created with a functional email address; no password-recovery procedure described.,original,S-0329,
Batch 2,portal_account_access,I've been waiting for the link to be sent to my email since two days. What should I do?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,email address,Account created with a functional email address; no password-recovery procedure described.,original,S-0330,
Batch 2,monthly_clearance,How do I go about my one month absent?,Not covered,-,,,Not addressed.,original,S-0331,
Batch 2,callup_letter_access,I have been given a call-up number since last stream but no letter up till now and I have not been mobilized. What will I do?,Not covered,-,,,No troubleshooting guidance found for call-up number delay.,original,S-0332,
Batch 2,biometric_capture,I saw my call-up letter and travelled to Adamawa but I was not able to register in camp because my thumbprint verification failed. Will I receive any mail after the old fingerprint is dropped?,Covered,MOBREG/PORTAL,,Printing of Call,"Printing call-up letters is listed as a self-service. N2,786.24 fee required to receive call-up number via SMS and print online; otherwise collect from school.",original,S-0333,
Batch 2,stream_assignment,Will I be able to go with Batch C Stream 2 after my thumbprint issue is resolved?,Covered,PDF/MOBREG,,Mobilization Time Table,Official Mobilization Time Table published at nysc.gov.ng/mobtable.html.,original,S-0334,
Batch 2,noise,"Please, is anyone going from Abuja to Nasarawa for camp?",,-,,,Not a real question -- excluded from FAQ coverage analysis.,original,S-0335,
Batch 2,portal_open_registration_window,"Please, does anyone know when the batch for 2026 will be released or when registration will open?",Covered,PDF/MOBREG,,Mobilization Time Table,Official Mobilization Time Table published at nysc.gov.ng/mobtable.html.,original,S-0336,
Batch 2,missed_posting_consequence,"Is it true that when one ignores the first NYSC posting, he or she will have to wait for another year before getting posted again?",Not covered,-,,,Not addressed.,original,S-0337,
Batch 2,missed_posting_consequence,Will the posting state change in the next posting if the first NYSC posting is ignored?,Not covered,-,,,Not addressed.,original,S-0338,
Batch 2,nerd_clearance_process,"Please, how much is the fee for the NERD application process?",Partial,guide,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Exclusion Letter,Part-time graduates register online and print their Exclusion Letter from the dashboard. 'NERD' terminology not specifically addressed.,original,S-0339,
Batch 2,nerd_clearance_process,Is NERD registration compulsory for those that registered during the last registration but were not deployed?,Partial,guide,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Exclusion Letter,Part-time graduates register online and print their Exclusion Letter from the dashboard. 'NERD' terminology not specifically addressed.,original,S-0340,
Batch 2,exemption_certificate,Can a married man get an orientation camp exemption and not participate in the orientation camp exercise?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Exemption Certificate,Nigeria-trained: collect from institution; corrections only allowed within 3 months of online registration date. Foreign-trained: come to NYSC HQ with original documents for clearance and collection.,original,S-0341,
Batch 2,batch_stream_timing,"On the call-up, which states are NUA and ABU?",Covered,PDF/MOBREG,,Mobilization Time Table,Official Mobilization Time Table published at nysc.gov.ng/mobtable.html.,original,S-0342,
Batch 2,dob_discrepancy_correction,"Please, how long does date-of-birth correction using WAEC take to reflect on the NYSC portal?",Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Date of Birth,Get 19/20-digit WAEC verification PIN from First Bank > enter on dashboard DOB correction link > verify. Gap between WAEC date and graduation date must be >=4 years. Different procedure if Exemption Certificate already issued.,original,S-0343,
Batch 2,dob_discrepancy_correction,My dashboard is still showing the old date of birth after I submitted the WAEC correction. What should I do?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Date of Birth,Get 19/20-digit WAEC verification PIN from First Bank > enter on dashboard DOB correction link > verify. Gap between WAEC date and graduation date must be >=4 years. Different procedure if Exemption Certificate already issued.,original,S-0344,
Batch 2,logistics_curfew_leaving,I would like to exeat from camp after swearing-in. How can I go about it?,Not covered,-,,,Not addressed.,original,S-0345,
Batch 2,graduation_date_correction,How can someone go about changing the date of graduation on the NYSC portal?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,wrongly exempted,"For wrongly-exempted PCMs: collect original Exemption Certificate from institution, SAO writes signed letter to NYSC HQ stating correct graduation date; then revalidate when portal reopens.",original,S-0346,
Batch 2,graduation_date_correction,"Aside from going through the school to effect a change in date of graduation, what can be done?",Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,wrongly exempted,"For wrongly-exempted PCMs: collect original Exemption Certificate from institution, SAO writes signed letter to NYSC HQ stating correct graduation date; then revalidate when portal reopens.",original,S-0347,
Batch 2,portal_open_registration_window,Is NYSC application still on?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Mobilization Time Table,Timetable for registration windows published at nysc.gov.ng/mobtable.html.,original,S-0348,
Batch 2,exemption_certificate,"Please, how can I get an exemption letter?",Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Exemption Certificate,Nigeria-trained: collect from institution; corrections only allowed within 3 months of online registration date. Foreign-trained: come to NYSC HQ with original documents for clearance and collection.,original,S-0349,
Batch 2,callup_number_delay,Why am I not seeing my call-up number after registering since March?,Not covered,-,,,No troubleshooting guidance found for call-up number delay.,original,S-0322,
Batch 2,callup_number_delay,"Please, has anyone seen a call-up number for someone who applied based on concessional deployment?",Not covered,-,,,No troubleshooting guidance found for call-up number delay.,original,S-0351,
Batch 2,portal_evaluation_status,My dashboard is still showing Batch A while people I registered with have changed to Batch B. What do I do?,Not covered,-,,,Not addressed.,original,S-0352,
Batch 2,ppa_ngo_service,Does an NGO need to give me an acceptance letter before NYSC can post me there?,Not covered,-,,,Not addressed.,original,S-0353,
Batch 2,ppa_ngo_service,Does the NGO have to be registered with NYSC before it can accept corps members?,Not covered,-,,,Not addressed.,original,S-0354,
Batch 2,stream_assignment,Can I choose whether to go with Stream 1 or Stream 2?,Not covered,-,,,No explanation of Stream 1 vs Stream 2 selection logic.,original,S-0355,
Batch 2,graduation_date_correction,Which date does NYSC use when determining my graduation date?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,wrongly exempted,"For wrongly-exempted PCMs: collect original Exemption Certificate from institution, SAO writes signed letter to NYSC HQ stating correct graduation date; then revalidate when portal reopens.",original,S-0356,
Batch 2,graduation_date_correction,Will the graduation date on my statement of result or certificate be used by NYSC?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,wrongly exempted,"For wrongly-exempted PCMs: collect original Exemption Certificate from institution, SAO writes signed letter to NYSC HQ stating correct graduation date; then revalidate when portal reopens.",original,S-0357,
Batch 2,bvn_name_mismatch,My BVN has three names but my school and NYSC records have two names. Will this affect opening my account in camp?,Not covered,-,,,Not addressed.,original,S-0358,
Batch 2,age_eligibility,"If my WAEC date of birth is below 30 but I am currently above 30, can I still serve?",Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Date of Birth,Get 19/20-digit WAEC verification PIN from First Bank > enter on dashboard DOB correction link > verify. Gap between WAEC date and graduation date must be >=4 years. Different procedure if Exemption Certificate already issued.,original,S-0103,
Batch 2,revalidation,"I mobilized through my school and my name appeared on the Senate list, but I didn't register. Do I need revalidation?",Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0034,
Batch 2,revalidation,"If I didn't register after appearing on the Senate list, can I choose any later batch?",Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0361,
Batch 2,relocation_general_process,How long after being posted can I apply for redeployment?,Partial,PDF,,,Not addressed.,original,S-0362,
Batch 2,relocation_general_process,Can I redeploy to my state of origin?,Partial,PDF,,,Not addressed.,original,S-0026,
Batch 2,senate_list_status,My name is on my school's Senate list but the NYSC portal says no record found. What should I do?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0027,
Batch 2,senate_list_status,How do I know whether my school has uploaded my name to the Senate list?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0364,
Batch 2,senate_list_status,Where can I check the Senate list and graduation list on the NYSC portal?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0364,
Batch 2,senate_list_status,My school releases names in batches. Can my name still be uploaded during Stream 2 registration?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0366,
Batch 2,stream_assignment,"If I registered for Batch C but cannot serve now, can I go with Batch C Stream 2?",Covered,PDF/MOBREG,,Mobilization Time Table,Official Mobilization Time Table published at nysc.gov.ng/mobtable.html.,original,S-0192,
Batch 2,revalidation,"If I don't go with my current batch, do I need to revalidate?",Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,revalidate,Revalidation opens when the online registration portal reopens (mentioned specifically re: graduation-date correction cases).,original,S-0212,
Batch 2,portal_account_access,I forgot my NYSC portal password and don't remember my security question. How can I recover it?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,email address,Account created with a functional email address; no password-recovery procedure described.,original,S-0369,
Batch 2,portal_account_access,Can NYSC help me recover my portal password if I provide my call-up number and school details?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,email address,Account created with a functional email address; no password-recovery procedure described.,original,S-0370,
Batch 2,discharge_certificate,Can I leave NYSC for a master's programme before completing my service year and still collect my discharge certificate?,Not covered,-,,,Not addressed.,original,S-0371,
Batch 2,logistics_accommodation,Can a corps member get accommodation from a religious group in the state of service?,Not covered,-,,,Not addressed.,original,S-0372,
Batch 2,logistics_accommodation,Are there religious buses available to convey corps members from camp to their LGAs?,Not covered,-,,,Not addressed.,original,S-0373,
Batch 2,ppa_course_matching,Can a computer science graduate serve in a telecommunications company instead of teaching?,Not covered,-,,,Not addressed.,original,S-0374,
Batch 2,ppa_course_matching,Can a computer science graduate serve at a television station or IT firm?,Not covered,-,,,No official mechanism described for choosing/influencing PPA.,original,S-0375,
Batch 2,postpone_defer_service,Can someone with a newborn baby defer NYSC to another batch?,Not covered,-,,,No deferment procedure described.,original,S-0376,
Batch 2,postpone_defer_service,Can a mother with a newborn baby redeploy instead of deferring service?,Not covered,-,,,No deferment procedure described.,original,S-0377,
Batch 2,docs_required_at_camp,Can I use a police report if I lost my school ID card?,Not covered,-,,,Not addressed.,original,S-0378,
Batch 2,bvn_name_mismatch,Will a different name on my BVN affect NYSC camp registration?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Correction of Name,Login to dashboard > Apply for Name Correction > fill fields > Place Request. NYSC does not add/remove names; that requires institution to write NYSC directly.,original,S-0379,
Batch 2,registration_payment_issue,Do I have to pay the NYSC call-up fee before my call-up number appears?,Covered,MOBREG/PORTAL,,"2,786.24","N2,786.24 fee is optional (needed only for SMS call-up number + online printing). Payment troubleshooting: check Payment Status page with transaction ID, or email nyscsupport@sidmach.com for stuck ATM payments.",original,S-0380,
Batch 2,callup_letter_access,Is there any disadvantage in collecting your call-up letter and number from school rather than paying the N3000 and printing it online?,Partial,PDF/MOBREG,,Printing of Call,"Printing call-up letters is listed as a self-service. N2,786.24 fee required to receive call-up number via SMS and print online; otherwise collect from school.",original,S-0381,
Batch 2,registration_method_at_home,"For those planning to register at home, what would you advise, and what time will the portal be opened?",Partial,PORTAL,https://portal.nysc.org.ng/nysc/FAQ.aspx,Digital Persona,Registration can be done on own computer if a Digital Persona fingerprint USB scanner is attached; otherwise use an accredited registration center/cybercafe.,original,S-0382,
Batch 2,registration_method_at_home,Is there anything else one needs besides an internet connection and fingerprint scanner to register at home?,Partial,PORTAL,https://portal.nysc.org.ng/nysc/FAQ.aspx,Digital Persona,Registration can be done on own computer if a Digital Persona fingerprint USB scanner is attached; otherwise use an accredited registration center/cybercafe.,original,S-0383,
Batch 2,callup_number_vs_letter,Do NYSC still issue a call-up number since they adopted online registration?,Partial,MOBREG,https://www.nysc.gov.ng/mobreg.html,SMS,Paying the fee gets call-up number via SMS + online letter printing; not paying means collecting both from school instead.,original,S-0384,
Batch 2,portal_open_registration_window,What period does the call-up number come out?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Mobilization Time Table,Timetable for registration windows published at nysc.gov.ng/mobtable.html.,original,S-0385,
Batch 2,portal_open_registration_window,What time will the portal be opened for Batch A registration?,Partial,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Mobilization Time Table,Timetable for registration windows published at nysc.gov.ng/mobtable.html.,original,S-0386,
Batch 2,posting_influence,"During online registration, why does NYSC ask for states you have visited before?",Not covered,-,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Concessional,Only official override is concessional posting: marital ground (posting to husband's state) or health ground -- not general state choice.,original,S-0387,
Batch 2,posting_influence,Does NYSC ask for states you have visited because they don't want to post you there?,Not covered,-,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Concessional,Only official override is concessional posting: marital ground (posting to husband's state) or health ground -- not general state choice.,original,S-0388,
Batch 2,registration_method_at_home,Can I begin NYSC registration with my phone and later use a computer for fingerprint and scanning?,Partial,PORTAL,https://portal.nysc.org.ng/nysc/FAQ.aspx,Digital Persona,Registration can be done on own computer if a Digital Persona fingerprint USB scanner is attached; otherwise use an accredited registration center/cybercafe.,original,S-0389,
Batch 2,senate_list_status,I graduated in 2014 but the uploaded Senate approved list shows 2015. What is the way out?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0390,
Batch 2,waec_certificate_requirement,Do I need my WAEC certificate in camp for registration?,Not covered,-,,,No explicit statement on WAEC original certificate requirement for registration.,original,S-0391,
Batch 2,posting_influence,Can I pick a state within my own geopolitical zone when choosing my preferred states?,Not covered,-,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Concessional,Only official override is concessional posting: marital ground (posting to husband's state) or health ground -- not general state choice.,original,S-0392,
Batch 2,senate_list_status,I have a problem of no record found when verifying my name on the NYSC site even though my school says it sent my name. Should I go ahead with registration?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0236,
Batch 2,registration_method_at_home,Can I do NYSC registration at home and later go to the bank to pay for the call-up number?,Partial,PORTAL,https://portal.nysc.org.ng/nysc/FAQ.aspx,Digital Persona,Registration can be done on own computer if a Digital Persona fingerprint USB scanner is attached; otherwise use an accredited registration center/cybercafe.,original,S-0394,
Batch 2,registration_method_at_home,"Can I start filling my NYSC information online, log out, and continue later on another computer?",Partial,PORTAL,https://portal.nysc.org.ng/nysc/FAQ.aspx,Digital Persona,Registration can be done on own computer if a Digital Persona fingerprint USB scanner is attached; otherwise use an accredited registration center/cybercafe.,original,S-0395,
Batch 2,senate_list_status,I use three names on all my documents but my institution uploaded only two names on the NYSC Senate list. What should I do?,Covered,PDF,https://www.nysc.gov.ng/downloads/onlinefaq.pdf,Senate,"Verify name appears on Senate/Academic Board Approved Result list before registering; if missing, contact institution directly.",original,S-0396,
