seed_id,intent,question,answer,terminal,kind
S-0150,senate_list_status,Can new names be added to the Senate list while registration is still going on?,"Yes. Schools submit on their own schedule, so names keep appearing through the registration window and a later upload still counts as long as it lands before your window closes. If your school misses the window entirely, you roll into the next batch rather than losing your place.",yes,answer
S-0364,senate_list_status,"How do I know whether my school has uploaded my name, and where do I check?","Check it yourself on the NYSC Senate List portal, which your school may call the Academic Board Approved List. Pick your institution, then enter your matriculation number, surname and date of birth and search. If your details come up, your school has uploaded you and you are cleared to register. If it says no record found, either they have not uploaded you yet or the details they sent do not match. 

The graduation list is your school's own record rather than something NYSC publishes, so for that one you have to ask your school.",yes,answer
S-0114,senate_list_status,Am I supposed to see my details on the verified Senate list before mobilization starts?,"Yes, that comes first. Your details appearing on the uploaded Senate List is what clears you to register, and there is no NYSC-side way to register before your name appears on it. Check on the NYSC Senate List portal with your matriculation number, surname and date of birth.",yes,answer
S-1038,senate_list_status,Does having a statement of result mean that my name is among the NYSC mobilization list?,"No. A statement of result is your school proving you graduated, and it says nothing about whether they have uploaded you to NYSC. Those are two separate steps and it is the upload that clears you to register. Check on the NYSC Senate List portal with your matriculation number, surname and date of birth to see whether you are on it.",yes,answer
S-0052,senate_list_status,On the Senate verification list another person's name appears with my other details. Can I proceed with registration?,"Do not register against that entry. What clears you is a Senate List record that is actually yours, and this one is carrying somebody else's name, so it has to be corrected before you go any further. Take it to your school's Student Affairs or Mobilisation Office, show them what the portal is returning, and ask them to check your record and re-upload it.",,answer
S-1069,senate_list_status,What happens if I have not completed my school clearance but want to be mobilized for NYSC?,"Your school will not put you on the Senate List until your clearance is done, so it has to come first. Outstanding departmental, faculty, library or bursary clearance is enough on its own to keep your name off the list, and it is a school-side hold that NYSC has no part in and cannot waive. Clear those with the departments holding you, then check on the NYSC Senate List portal with your matriculation number, surname and date of birth.",yes,answer
S-0390,senate_list_status,I graduated in 2014 but the uploaded Senate approved list shows 2015. What is the way out?,"Your school has to correct it and resubmit, there is no NYSC-side fix for it. NYSC goes by the graduation date on the Senate List your school submitted, not the date on your certificate, so whatever they uploaded is what your record says and NYSC will not override it. 

Take it to your school's Student Affairs or Mobilisation Office, ask them to correct the year and resubmit, and put it in writing and keep a record of each attempt if they keep leaving it out. Check your portal afterwards to confirm the right year is showing before you rely on it at camp.",yes,answer
S-0396,senate_list_status,I use three names on all my documents but my institution uploaded only two names on the NYSC Senate list. What should I do?,"A whole missing name is not something you can fix on your dashboard yourself. The dashboard's Correction of Name handles spelling and word order only, so where a name has been left out entirely your institution's Student Affairs Officer has to write to NYSC on your behalf. Go to them with the documents showing all three names, ask them to write, and ask them to correct what they uploaded to the Senate List at the same time.",yes,answer
S-0429,senate_list_status,My school submitted a different arrangement of my names to the Senate list. Will this cause a problem at camp?,"Fix it rather than leave it, and this one you can do yourself. Name order is exactly what the dashboard's Apply for Correction of Name link is for, no fee and no institution involvement, so log in and submit the correct arrangement. There is no published rule on whether a different arrangement gets queried at the camp gate, so the safe move is to have it corrected before you travel.",yes,answer
S-0051,senate_list_status,I did not mobilize but my name is on the school list. Can I still mobilize and have my name uploaded to the NYSC site?,"Yes, and through fresh registration rather than revalidation. Revalidation only reactivates a registration that was completed and produced a call-up letter, so a name on the Senate List with no completed registration is not that case.

Your school does not need to upload you again. The Senate List entry you already have stays valid and fresh registration picks it up, so what you are waiting for is the next registration window opening rather than anything from your institution.",yes,answer
S-0366,senate_list_status,My school releases names in batches. Can my name still be uploaded during Stream 2 registration?,"Yes. Schools upload at different speeds and a later submission still counts, so if you were not processed in time for Stream 1 you are generally carried into Stream 2 rather than losing your place. It depends on your school actually completing the submission, including the hardcopy that has to reach NYSC, so keep checking your dashboard and keep pressing your school's Student Affairs or Mobilisation Office. That is the only lever you have.",yes,answer
S-0863,post_relocation_process,"I have printed my relocation letter. What is the next step, and where do I report?","Take it to your new state's NYSC secretariat in person, and go straight there rather than back to your old state. Bring your original relocation approval letter, printed in colour and not laminated, a photocopy of it with your camp bank name, account number and phone number written on it, and a copy of your statement of result or certificate. You submit those at the new secretariat, and your state code updates afterwards.",yes,answer
S-1000,post_relocation_process,"After relocation approval, do I still need to go back to camp?","No. Relocation changes your state or your PPA, it does not restart orientation, so there is no going back to camp. Report to your new state's NYSC secretariat instead, with your original approval letter printed in colour and not laminated.",yes,answer
S-0082,post_relocation_process,Do I have to do documentation and LGI clearance again in my new state?,"Yes, the documentation is done again in your new state, though you are not registering for NYSC afresh. Start at your new state's NYSC secretariat with your approval letter, then once your new PPA appears on your dashboard, take it to your new LGA and do the same LGI documentation and clearance a regular posting requires, because your old state's local records do not carry over.",yes,answer
S-0081,post_relocation_process,"After relocation, do I need to return to the secretariat before my PPA appears, and what is the sequence?","Once you have submitted your approval letter at your new state's secretariat, you do not need to go back while you wait, because the order is fixed: your state code commonly updates within 1 to 7 days of submitting your documents and your new PPA usually appears on your dashboard about 2 to 7 days after that, and only then do you take it to your new LGA for LGI documentation and clearance. 

You cannot carry the documentation forward before the PPA appears, and you should not travel to it or start work there either. If either step is well past those windows, contact your new state's LGI or the secretariat's relocation desk directly rather than waiting indefinitely, since there is no guaranteed escalation path for it.",yes,answer
S-0083,post_relocation_process,How long does it take for my PPA to appear after I submit my relocation documents?,"In the usual case your state code commonly updates within 1 to 7 days of submitting your documents and your new PPA usually appears on your dashboard about 2 to 7 days after that. Sources differ on the exact counts, so treat them as ranges rather than promises. If you are well past them, do not keep waiting, contact your new state's LGI or the secretariat's relocation desk directly rather than waiting indefinitely, since there is no guaranteed escalation path for it.",yes,answer
S-0084,post_relocation_process,I got relocated but my PPA has not appeared on my dashboard. What should I do?,"Go and contact your new state's LGI or the secretariat's relocation desk directly rather than waiting indefinitely, since there is no guaranteed escalation path for it. Waiting it out is not a route. So you know whether you are actually late, your state code commonly updates within 1 to 7 days of submitting your documents and your new PPA usually appears on your dashboard about 2 to 7 days after that, and do not travel to the new PPA before it shows on your dashboard.",yes,answer
S-1426,post_relocation_process,My file has not arrived at my new state. How long does that take and who do I meet?,"There is no published timeline for the file itself, so what you can actually track is your state code and then your PPA. Your state code commonly updates within 1 to 7 days of submitting your documents and your new PPA usually appears on your dashboard about 2 to 7 days after that. The person to meet is your new state's LGI or the secretariat's relocation desk, and go in person rather than waiting to be called.",yes,answer
S-0259,post_relocation_process,"After relocation, which state handles my clearance?","Your new state. Clearance moves with you, so once your new PPA appears on your dashboard, take it to your new LGA and do the same LGI documentation and clearance a regular posting requires, because your old state's local records do not carry over. Your original state does not keep handling it.",yes,answer
S-0467,post_relocation_process,"Will I still get my allowance after relocating, and does my former state keep paying?","Relocating does not cancel your allowance, but it does interrupt it. Payment moves to your new state, you open an account there, and a gap of up to about three months while the switch goes through is common, so your former state does not keep paying you through it.",yes,answer
S-0970,post_relocation_process,Is there a deadline for reporting to my new state after relocation approval?,"Yes, 21 days from the date of approval, and it is stated on the approval letter itself. Miss it and the relocation can be reversed automatically, putting you back in your original state of deployment.

So go as soon as you have the printed letter rather than waiting on anything else, and your state code does not start updating until you have submitted it at the new state's secretariat. If a clearance step is holding you up and the countdown is running, go to the secretariat and say so rather than letting the window close.",yes,answer
S-0419,post_relocation_process,Can I report to my new state before printing my relocation letter?,"No. The printed letter is what you submit at the new secretariat, so there is nothing to report with until you have it. Print it in colour and do not laminate it, and take a photocopy with your camp bank name, account number and phone number written on it.",yes,answer
S-0975,post_relocation_process,My relocation was approved but my call-up number still shows the old state.,"Your call-up number never showed your state, so it is not the thing to watch. It is a tracking code generated when you registered, and what changes after a relocation is your state code and then your new PPA on your dashboard.",,answer
S-0195,callup_letter_access,"My call-up letter has not appeared on my dashboard yet. Is it out, and when can I print it?","Your call-up number comes first and the letter follows once processing catches up, so a gap between the two is normal rather than a sign something has gone wrong. There is no single release date to wait for and no message you need first, so check your dashboard directly.",,answer
S-0332,callup_letter_access,I have had my call-up number since last stream but still no letter and I have not been mobilised. What do I do?,"Go to your state secretariat directly rather than waiting on the portal. The letter normally follows the number once processing catches up, and when a whole stream has passed without it there is no portal step left for you to take.",yes,answer
S-0414,callup_letter_access,Do I have to receive an SMS from NYSC before I can access my call-up letter?,"No. The SMS is a convenience that comes with the paid registration package, not a gate, so it is never what makes your letter available. Check your dashboard directly.",,answer
S-0381,callup_letter_access,"Can I collect my call-up letter from my school instead of paying to print it online, and is there a disadvantage?","Yes, you can collect it from your institution instead. One thing to correct first: the roughly ₦3,000 registration package fee, paid through Remita during registration is not a charge for printing, it is the registration package, and what it buys is online printing and reprinting plus SMS and email notifications. So the disadvantage of collecting from school is that if the paper copy is lost or damaged you have no way to reprint it yourself, which makes keeping it and your photocopies safe the whole job.",yes,answer
S-0547,callup_letter_access,"I lost or damaged my call-up letter. Can I reprint it, and what happens now?","Whether you can reprint it comes down to one thing, whether you paid the roughly ₦3,000 registration package fee, paid through Remita during registration, because that is what unlocks online reprinting. Either way keep the paper copy and your photocopies safe, since the letter is your entry pass into camp and you cannot register at camp without it.",,answer
S-0492,callup_letter_access,The reprint option or print icon for my call-up letter is missing or not working. Why?,"Online printing only exists if you paid the roughly ₦3,000 registration package fee, paid through Remita during registration, so that is the first thing to check. If you did pay and the link is still missing or does nothing, that is a portal fault rather than something wrong with your record.",,answer
S-0432,callup_letter_access,"If I collect my call-up letter from school, will I still need to print my Green Card?","Yes, you still print your Green Card yourself. It is a separate document from the call-up letter and the payment choice does not affect it, so collecting your letter from your institution changes nothing about the Green Card.",yes,answer
S-0133,ppa_rejection_reposting,"Can I still do my monthly clearance or thumbprint while my PPA has rejected me and I am waiting to be reposted, and where?","Yes, and you do it at the secretariat rather than through your PPA. Being rejected does not suspend your clearance, so keep clearing every month while your repost is being sorted out.",,answer
S-0663,ppa_rejection_reposting,My PPA rejected me because they have no vacancy or do not take corps members. What is the process from here?,"The organisation notes rejected on your posting letter and gives you a separate rejection letter, and you take that to your LGI or ZI at the LGA secretariat. They process a repost to a new PPA in the same area, and NYSC then issues a new posting letter which you can download from your dashboard. Having an acceptance letter from an organisation willing to take you speeds the whole thing up.",,answer
S-0297,ppa_rejection_reposting,I submitted my PPA reposting request at the local government secretariat but I have not been reposted. What can I do?,"Escalate to the State Secretariat. If the rejection letter is already in at the LGA secretariat and no repost has come, the LGI is where it has stalled, so take it above them rather than waiting. One thing to expect on the way: some LGIs first treat a rejection as if you refused the posting and may ask for a query form, so say plainly that the PPA rejected you and not the reverse.",,answer
S-0582,ppa_rejection_reposting,Can I find another PPA or school myself after being rejected?,"Yes, and it is the fastest route. Get an acceptance letter from an organisation willing to take you and bring it with your rejection letter. The repost still goes through your LGI, so you are not posting yourself, you are giving them somewhere to post you.",,answer
S-0274,ppa_rejection_reposting,"Can I reject my PPA for a better offer elsewhere, or because I do not like it?","No. A better offer is not a ground and not liking your PPA is not one either, so a valid rejection has to come from the PPA's side, or you need your own strong documented reason such as location, security or health, through your LGI. And leaving a PPA with no rejection letter at all is treated as absconding and can bring disciplinary action, so get the letter rather than simply stopping going.",,answer
S-0665,ppa_rejection_reposting,Is there a deadline for submitting a rejection letter from my PPA?,"There is no formal deadline for submitting a rejection letter, so you are not racing a date. Take it to your LGI as soon as you have it anyway, because the repost cannot start until they have it.",,answer
S-1012,ppa_rejection_reposting,Is there any penalty for rejecting my PPA?,"There is no penalty for being rejected by your PPA, because that is not something you did. What does carry one is leaving a PPA with no rejection letter at all is treated as absconding and can bring disciplinary action, so get the letter rather than simply stopping going.",,answer
S-0734,ppa_rejection_reposting,"How do I get a rejection letter, and what if my PPA refuses to sign one?","Ask the organisation to write it, and expect some resistance, because signing one can affect NYSC's willingness to post corps members to them in future. Persistence and a plain explanation help, along the lines of this location is too far and I have no way to commute. 

If they still will not sign, distance is a documented reason you can take to your LGI yourself, since a valid rejection has to come from the PPA's side, or you need your own strong documented reason such as location, security or health, through your LGI.",,answer
S-0748,allowance_payment_issue,"My allowance has not been paid or is delayed. What do I do, and who do I complain to?","Report it to your LGI first, then your state secretariat's Finance or Accounts office if it is still not resolved, since that office has more visibility on payment backlogs. Allowance delays have repeatedly been national funding problems rather than anything wrong with your own record.

That route is for the federal allowance. If what is missing is a stipend your PPA pays you on top of it, chase that with your PPA supervisor or HR instead, because it is their own arrangement rather than an NYSC payment.",,answer
S-0933,allowance_payment_issue,I completed my clearance but my allowance still has not been paid. What should I do?,"Then your clearance is not what is holding it, so it is either your own bank and BVN details or a delay that is affecting more than just you.",,answer
S-1019,allowance_payment_issue,Some people have been paid and mine has not reflected. Why does NYSC pay some people and leave others?,"When some people in your batch are paid and you are not, that points at your own record rather than a national delay, because the systemic delays hit whole batches at once.

So check your bank and BVN details on the portal, confirm your PPA submitted your clearance for the month, and confirm you completed your monthly biometric verification. If all three are right, report it to your LGI first, then your state secretariat's Finance or Accounts office if it is still not resolved, since that office has more visibility on payment backlogs.",yes,answer
S-1018,allowance_payment_issue,Why was my allowance stopped this month when it was paying normally before?,"A month that stops after paying normally usually points at your own record rather than a change in policy, most often a missed monthly biometric or CDS clearance.",,answer
S-0185,allowance_payment_issue,"Will failing to complete my monthly clearance, or missing a month's thumbprint, affect my allowance?","Yes, it can. Monthly clearance is what unlocks that month's payment and the biometric thumbprint is part of it, so an unresolved miss risks no allowance for the months you missed. There is no fixed rule for exactly when withholding starts, so do your current clearance and report the gap to your LGI rather than leaving it unaddressed.",yes,answer
S-0899,allowance_payment_issue,Can I still receive my allowance while my clearance status is still pending?,"Not while it is still pending, because the payment follows the clearance once it is recorded. A pending status is usually an upload or reporting lag on the administrative side rather than a problem with your attendance, so follow up with your LGI to confirm it was recorded, and resubmit if they ask you to.",yes,answer
S-0932,allowance_payment_issue,Is there any allowance paid by local governments?,"No. There is no local government allowance anywhere. What does exist is an extra monthly stipend paid by some state governments, and sometimes a stipend from your PPA itself, which is a private arrangement with your employer rather than an NYSC payment.",yes,answer
S-0942,allowance_payment_issue,Is there any extra allowance from the state government?,"Some state governments do pay one, on top of the federal allowance and entirely separate from it. It is optional rather than owed to you, it varies widely by state at roughly ₦5,000 to ₦50,000 where it exists, its timing is inconsistent, and in some states only corps members posted to government establishments get it, so do not budget on it.",yes,answer
S-0944,allowance_payment_issue,Can married corps members receive extra allowance?,"No. The federal allowance is flat and identical for everyone, whatever your marital status, your qualification or your state, so being married does not change it. The only extras that exist anywhere are a state government stipend or one from your PPA, and neither depends on being married.",yes,answer
S-0900,allowance_payment_issue,Has anyone received last month's allowance yet?,"I cannot tell you whether a particular month has gone out, because there is no month by month schedule to check. For your own payments, the Payment History on your dashboard is what shows which months have landed and which are outstanding. When a month is late across a whole batch it has usually been a national funding problem rather than anything on your side.",yes,answer
S-0945,allowance_payment_issue,Will NYSC pay arrears for months I missed?,"No. Allowance for months you were marked absent is normally forfeited rather than paid later, and there is no process for claiming it. If you think a month was marked absent wrongly, that is a records correction to raise with your LGI rather than a payment to claim.",yes,answer
S-1020,allowance_payment_issue,Is there any number I can call about unpaid allowance?,"There is no published NYSC number for allowance complaints. It is handled in person: report it to your LGI first, then your state secretariat's Finance or Accounts office if it is still not resolved, since that office has more visibility on payment backlogs.",yes,answer
S-0666,allowance_payment_issue,Will NYSC continue paying my allowance while my PPA is still being sorted out?,"Yes, as long as you keep doing your monthly clearance, because each month's payment follows that month's clearance. While your PPA is unsettled you do the clearance at the secretariat rather than through the PPA, so an unsettled posting does not stop your allowance by itself.",yes,answer
S-0466,allowance_payment_issue,"I have not been paid since my relocation, and my former state may still owe me. Who do I chase?","Report it through your LGI, then your state secretariat's Finance or Accounts office if it is still not resolved, and use the Payment History on your dashboard to show which months are outstanding. Nothing published says whether the state you left or the state you moved to settles money owed from before the move, so ask your LGI to confirm which office is handling yours.",yes,answer
S-0066,docs_required_at_camp,"Do I need to take my original certificate to camp, or is a Statement of Result enough?","One original is what the gate wants, and either document does it. Your certificate on its own is enough and you do not also need a Statement of Result, and if your certificate is not ready then an original Statement of Result is accepted as long as it is genuine, properly signed and stamped by your institution, and not marked provisional. If you are bringing the certificate, check that the name and graduation date on it match your NYSC dashboard exactly, because a mismatch there is a known registration risk.",,answer
S-0522,docs_required_at_camp,Can I use a photocopy of my Statement of Result at camp?,No. Photocopies are not accepted for either your certificate or your Statement of Result. Bring the original and keep a photocopy only as backup.,,answer
S-0767,docs_required_at_camp,My Statement of Result was issued a year ago. Is it too old to use at camp?,"There is no expiry on how old a Statement of Result can be, so one issued a year ago is fine and claims about expiry are wrong. Keep it in good condition, because the gate check depends on the document being legible.",,answer
S-0110,docs_required_at_camp,Will NYSC accept a Statement of Result that is stained or damaged?,"A stained or damaged original is a real risk at the gate, because verification depends on the document being legible. No rule says a stained Statement of Result is rejected outright and none says it is accepted either, so bring a clean photocopy as backup alongside the original.",,answer
S-0124,docs_required_at_camp,My school has not released my Statement of Result and camp registration is starting. What can I do?,"There is no workaround at the gate for this. You cannot be registered without an original document, so if your school has not released your Statement of Result and your certificate is not ready either, registration cannot go ahead on the strength of anything else. You do not lose your place though: your institution is expected to carry you into the next available registration window, so press your school for the original and follow up with NYSC about which batch you will be registered in.",,answer
S-0205,docs_required_at_camp,Which documents do I need to present in the original at camp?,"Originals rather than photocopies for the documents that prove your result, meaning your certificate or your Statement of Result. The full gate list is your Call-Up Letter, Green Card, Statement of Result or Certificate, your institution's ID card, recent white background passport photographs, and a Medical Fitness Certificate from a government or military hospital. JAMB documents are not needed at the gate, that is checked earlier at the online registration stage.",,answer
S-0188,docs_required_at_camp,"Is the school ID card compulsory at camp registration, and what if my school collected it or I lost it?","It is not strictly enforced. if your Statement of Result is signed and stamped and your name appears on the Senate List, you can generally still be cleared without it, so a school that has collected your ID or one you have lost is usually not what stops you. Some camps do still ask, so bring an alternative photo ID such as your NIN slip, voter's card or passport as backup.",,answer
S-1211,docs_required_at_camp,I do not have my school ID card. Can I use a letter of identification from my school instead?,"A letter of identification from your institution is the substitute that corps members report actually working, so if you have one, take it. Request one before camp if yours is lost or your school has collected it, and carry an alternative photo ID such as your NIN slip, voter's card or passport as well.",,answer
S-0378,docs_required_at_camp,Can I use a police report if I lost my school ID card?,"No, a police report is not a confirmed substitute for the school ID. What corps members report actually working is a letter of identification from your institution, so get that instead, and carry an alternative photo ID such as your NIN slip, voter's card or passport as well.",,answer
S-0766,docs_required_at_camp,My school ID card has expired. Can I still use it at camp or do I need a new one?,"No rule about the expiry date on a school ID is documented either way, and the ID is not strictly enforced in the first place, so an expired one is not worth replacing for camp. If your Statement of Result is signed and stamped and your name appears on the Senate List, you can generally still be cleared without it, and a letter of identification from your institution is the substitute that reportedly works if a camp insists.",,answer
S-0525,docs_required_at_camp,Can I attend camp with only my school ID and admission letter?,"No. Your school ID and admission letter are not a substitute for the required documents. You still need your Call-Up Letter, Green Card, an original certificate or Statement of Result, passport photographs and a Medical Fitness Certificate from a government or military hospital.",,answer
S-0079,allowance_amount,Is the first month's allowance paid physically in NYSC camp?,"No, not the monthly allowance. That one goes into the bank account opened for you at camp and there is no physical handout. What does get paid physically in camp is a separate thing, the transport or bicycle allowance, and it is ₦10,000 in total rather than one payment.

₦6,400 of it is cash in camp, usually from about day 12, collected against your school ID and your state code tag. The remaining ₦3,600 comes after camp or once you resume at your PPA. That figure has not moved even as the monthly allowance rose, so do not expect it to scale with it.",,answer
S-0750,allowance_amount,"When exactly is the first allawee or first allowee paid, in camp or after camp?","There are two answers in circulation and neither is settled. Some accounts have the first monthly payment landing while you are still in camp, around day 18, and others say it does not come until after camp at your PPA, because your bank details have to be entered and verified through NYSC's payment system first. Budget as if it may not arrive until after camp, since that is the safer assumption.

Part of why both versions circulate is the account itself: the one NYSC opens for you in camp is not fully usable until you upgrade it after leaving, so a payment sent near the end of camp can only become reachable once you are already on your way to your PPA.",yes,answer
S-1245,allowance_amount,"When is the transport allowance paid during orientation camp, and how much is it?","It is paid once, in camp, generally starting around day 12 to 18, and you collect it against your school ID and state code tag. The amount is not published anywhere, and it is a small cash payment rather than anything close to a month's allowance, so do not plan around a figure for it.",yes,answer
S-0557,allowance_amount,Will the next batch receive the old allowance figure or the new one?,"Neither of the figures usually quoted is current. It is ₦77,000 a month, which is the national minimum wage plus 10%, and it has been since March 2025. ₦33,000 was the rate before that, so anywhere still quoting it is out of date, and it is the same figure for every corps member regardless of state, course or PPA.

On what it actually covers: self-catering and sharing accommodation in an average-cost state runs about ₦40,000 to ₦55,000 a month once feeding, a room, transport and data are in, so there is a real surplus but not a large one. Eating out and living alone takes it to ₦65,000 to ₦90,000, and in Lagos or Abuja treat all of that as too low, because rent and transport are far higher.",yes,answer
S-0751,allowance_amount,"How much should I budget for the service year, and how much is a reasonable upkeep?","The only figure you can plan around is the federal ₦77,000 a month, which every corps member gets. Treat a state top up or a PPA stipend as a bonus rather than income, because neither is guaranteed and some PPAs pay nothing at all. On the spending side I cannot give you a monthly breakdown for feeding, accommodation and transport yet, so take the ₦77,000 as the income half of the question rather than an answer to whether it is enough.",yes,answer
S-0464,allowance_amount,"Can my PPA pay me an allowance on top of the NYSC one, and do I get paid at my PPA?","Some do, and it is entirely at the PPA's own discretion, not administered or guaranteed by NYSC. It is commonly ₦30,000 to ₦150,000 a month at private companies such as banks, tech firms, law firms and multinationals, while government offices, schools and public sector PPAs typically pay nothing extra or only a token amount. The federal ₦77,000 comes to your bank account either way, wherever you are posted.",yes,answer
S-1369,allowance_amount,"Which type of PPA is more likely to pay an extra allowance, a ministry, a school or a local government?","None of those three. The PPAs that commonly pay a stipend are private companies such as banks, tech firms, law firms and multinationals, at ₦30,000 to ₦150,000 a month, while ministries, schools and local government offices typically pay nothing extra or only a token amount. It is the PPA's own decision either way, so it is never guaranteed.",yes,answer
S-0128,allowance_amount,"Does a particular institution or ministry pay corps members an extra allowance, and how much?","I cannot tell you what a particular institution pays, because a stipend is set by that employer, varies widely and changes from year to year, so any figure given here would be wrong or out of date. 

The pattern is that private companies pay one, commonly ₦30,000 to ₦150,000 a month at private companies such as banks, tech firms, law firms and multinationals, while government offices, schools and public sector PPAs typically pay nothing extra or only a token amount. Ask the place directly, or ask corps members currently serving there.",yes,answer
S-0755,allowance_amount,"Will the state I am posted to pay anything extra, and does a particular state government pay corps members?","Some state governments do pay a top up, and I cannot tell you whether yours is one of them, because it varies by state and changes. Where it exists it is separate from the federal allowance, typically restricted to corps members posted to government establishments, and roughly ₦5,000 to ₦50,000 with inconsistent timing. Treat it as a bonus rather than something you are owed.",yes,answer
S-0904,allowance_amount,Can corps members receive both the federal allowance and a state allowance?,"Yes. A state top up is separate from the federal allowance and does not replace it, so where a state pays one you receive both. The federal ₦77,000 is the part that is guaranteed, and the state part depends on your state and often on being posted to a government establishment.",yes,answer
S-0465,allowance_amount,Is a PPA stipend paid from the month the corps member resumes?,"There is no rule that it starts the month you resume, because it is the organisation's own arrangement rather than anything NYSC administers, and terms vary widely between PPAs. Some pay from the first month, others wait one or two while they onboard you.

Ask your PPA's HR or admin office which month they actually pay from, and budget your first month or two as though it might not come. State top-ups behave the same way, some of them only starting after a corps member has already served several months.",yes,answer
S-1051,allowance_amount,My PPA has not paid me. Should I go straight to my LGI?,"No, not for that one. A stipend your PPA pays you is a private arrangement between you and your employer, so chase it with your PPA supervisor or HR directly, the way you would any unpaid wages. Your LGI's escalation channel is specifically for the federal ₦77,000, so a missing federal payment goes there and a missing PPA stipend goes to the PPA.",yes,answer
S-0990,allowance_amount,Are corps members in all states paid on the same day?,"The amount and the window are the same everywhere, but not the exact day. Payment lands normally between the 25th and 30th of the month, and delays of a few days up to about two weeks are not unusual, especially early in a new batch or in more remote states, so two corps members in different states can be paid days apart.",yes,answer
S-0075,remobilization_after_abandon,What is remobilization and how does it work?,"It is the official route back into service after absconding, meaning you stopped attending camp or your PPA without approval. To be clear which one you need, remobilization is for somebody who reached camp or served part of the year and then stopped, and revalidation is for somebody who never reported to camp at all.

In practice remobilization only runs through a portal NYSC opens periodically and announces per batch, and applications outside the stated window are not accepted. Which route you use depends on your state. If your state secretariat already took formal action on the abscondment you register directly for remobilization when the portal opens, and if it took no formal action a different registration route applies, so confirm which one is yours with your state secretariat before the window opens.",,answer
S-0278,remobilization_after_abandon,How do I refund the allowance I received before I abandoned NYSC?,"Through the official NYSC dashboard, and only there. You refund the exact amount you collected, a refund paid any other way is not recognised, and your application will not be processed until it is done. What the rule names is the monthly allowance, so if you also collected the one off cash payment in camp, ask your state secretariat whether that has to go back too, because no rule covering it either way is published.",,answer
S-1375,remobilization_after_abandon,Is it true that I must receive three months' allowance before I can be remobilised?,"No, there is no such rule. Nothing about being remobilised depends on how much allowance you received, and the allowance requirement runs the other way: if you collected allowance before you stopped, you must refund that exact amount through the official NYSC dashboard, because a refund paid any other way is not recognised, and it is a precondition for your application being processed.",,answer
S-0281,remobilization_after_abandon,When will NYSC open the remobilization portal again?,"There is no date to give you. Remobilization only runs through a portal NYSC opens periodically and announces per batch, and applications outside the stated window are not accepted, so the announcement is the only thing that tells you it is open and there is no standing schedule to check against. Watch for the batch announcement rather than planning around a month.",,answer
S-0280,remobilization_after_abandon,"Is my earlier remobilization request still valid, or do I need to make a new one?","Do not assume the earlier one still counts. If you registered in a previous window but could not complete your documentation in your assigned state, you have to register afresh in the next window rather than waiting on the old application.",,answer
S-1374,remobilization_after_abandon,I would prefer a particular batch for my remobilization. How do I arrange that?,"There is no documented way to choose your batch. You apply in whichever window NYSC next opens and announces, so the batch you land in follows the window rather than your preference. If which batch you end up in matters for a specific reason, put that to your state secretariat before the window opens, since they are the ones handling your case.",,answer
S-1373,remobilization_after_abandon,"I went to camp and served a month, then stopped because I was sick, and my LGI says I absconded and will be remobilised. Which batch will I be remobilised into?","Whichever window NYSC next opens, because the batch follows the window rather than your case. On the sickness though, that is worth raising before you accept being treated as an absconder: an absence with a legitimate cause you can document, illness included, is something to take to your LGI in writing as soon as possible with whatever evidence you have, and absence handled that way is commonly resolved without an extension.",,answer
S-0279,remobilization_after_abandon,My NYSC portal shows me as present for months I did not serve. How do I reconcile it?,"That is a records problem rather than something you can fix yourself, and there is no self service correction on the dashboard for it. Your state secretariat or LGI has to correct it, and they do that once you are back in the system through remobilization, so the remobilization comes first and the record follows.",,answer
S-0679,remobilization_after_abandon,Can somebody in Abuja enquire about my remobilization issue at NYSC headquarters for me?,"A relative can contact the secretariat to ask about your case, but nothing published says a third party can complete the application or be given your information, so the formal application stays yours to make. If somebody else is following up in person for you, send them with whatever authorisation and documents the secretariat asks for. If you do go in person, headquarters is at Plot 416, Tigris Crescent, off Aguiyi Ironsi Street, Maitama, Abuja, but your state secretariat is where a remobilization case is actually handled.",,answer
S-0062,remobilization_after_abandon,Can someone ghost their NYSC service year?,"You can stop going, but it is not free and it is not the same as never turning up at all. Absconding is flagged as AWOL on the portal and treated as a disciplinary matter, with a service extension commonly around one month per missed clearance, your discharge certificate withheld until it is resolved, and possible written queries from your LGI. Simply not reporting to camp in the first place carries no punishment and just moves you to a later batch, and that difference is the whole reason remobilization exists.",,answer
S-0277,remobilization_after_abandon,Can someone who has abandoned NYSC apply for remobilization?,"Yes, that is exactly what remobilization is for. Remobilization only runs through a portal NYSC opens periodically and announces per batch, and applications outside the stated window are not accepted, and if you collected allowance before you stopped, you must refund that exact amount through the official NYSC dashboard, because a refund paid any other way is not recognised, and it is a precondition for your application being processed.",,answer
S-0159,stream_assignment,"How are people selected for Stream 1 and Stream 2, and how does NYSC decide?","It is not a selection in the sense of anybody choosing. Like your batch, your stream follows processing order, mainly how quickly your institution uploaded and submitted its Senate List, including the physical hardcopy that has to reach NYSC's Abuja office. So the deciding factor sits with your school rather than with you or with NYSC's view of you.",yes,answer
